1,20,420 
2,60,417
3,81.1,414 
4,99.3,412 
5,117,409 
6,136,406 
7,154,403 
8,172,401 
9,190,398 
10,205,395 
11,214,393 
12,222,390
13,231,387 
14,240,385 
15,249,382 
16,258,379 
17,267,376 
18,273,374 
19,277,371 
20,282,368 
21,286,366 
22,291,363 
23,296,360 
24,300,358 
25,305,355 
26,309,352 
27,314,349 
28,318,347 
29,323,344 
30,327,341 
31,332,339
32,337,336 
33,341,331 
34,346,324 
35,350,317 
36,355,299
37,359,281
38,364,263
39,369,245
40,373,227
41,378,208
42,382,190
43,387,172
44,391,154
45,396,136
46,400,117
47,405,99.3
48,410,81.1
49,414,60
50,419,20
